Food Code,Name,Food Category,Base Value,Sub Group Code,Validation Error,Validation Overridden,Description,Dilution,Max Weight,Comment,Edible Portion,Deleted Food Flag,Water,Estimate,Total nitrogen,Estimate,Nitrogen conversion factor,Estimate,Protein,Estimate,Fat,Estimate,Carbohydrate,Estimate,Energy (kcal),Estimate,Energy (kJ),Estimate,Alcohol,Estimate,Englyst fibre,Estimate,Southgate fibre,Estimate,Starch,Estimate,Total sugars,Estimate,Non-milk extrinsic sugars,Estimate,Intrinsic and milk sugars,Estimate,Glucose,Estimate,Fructose,Estimate,Sucrose,Estimate,Maltose,Estimate,Lactose,Estimate,Other sugars,Estimate,Satd FA,Estimate,Cis-Mon FA,Estimate,Cis-n3 FA,Estimate,Cis-n6 FA,Estimate,Trans FA,Estimate,Cholesterol,Estimate,Retinol,Estimate,Total carotene,Estimate,Alpha-carotene,Estimate,Beta-carotene,Estimate,Beta cryptoxanthin,Estimate,Vitamin A,Estimate,Vitamin D,Estimate,Thiamin,Estimate,Riboflavin,Estimate,Niacin,Estimate,Tryptophan/60,Estimate,Niacin equivalent,Estimate,Vitamin C,Estimate,Vitamin E,Estimate,Vitamin B6,Estimate,Vitamin B12,Estimate,Folate,Estimate,Pantothenic acid,Estimate,Biotin,Estimate,Sodium,Estimate,Potassium,Estimate,Calcium,Estimate,Magnesium,Estimate,Phosphorus,Estimate,Iron,Estimate,Haem iron,Estimate,Non-haem iron,Estimate,Copper,Estimate,Zinc,Estimate,Chloride,Estimate,Iodine,Estimate,Manganese,Estimate,Selenium,Estimate
24,"OATS, ROLLED, PLAIN, DRY WEIGHT, NOT QUAKER, READY BREK/ INSTANT OATS",F,100,1R,FALSE,FALSE,,1,200,02/08/04 updated breakfast cereal project 2004-BH,1,FALSE,9.5,,1.9,,5.83,,11,,7.8,,72.1,,385,,1629,,0,,6.5,,6.8,,64.8,,7.3,,0,,7.3,,0,,0,,0.3,,0,,0,,7,,1.24,,3,,0.08,,2.99,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0.86,,0.05,,0.7,,2.7,,3.4,,0,,0.7,,0.3,,0,,28,,0.4,,20,,2,,368,,48,,115,,392,,3.6,,0,,3.6,,0.39,,2.5,,87,,0,,3.73,,3,
25,"PASTA, CANELLONI, DRIED",F,100,1E,FALSE,FALSE,,1,1,13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS,1,FALSE,8.7,,2,,5.7,,11.3,,1.6,,80.2,,360,,1534,,0,,3.7,,,,73.5,,6.7,,0,,6.7,,0.1,,0.2,,0.3,,6.1,,0,,0,,0.23,,0.18,,0.04,,0.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.17,,0.03,,3.3,,2.4,,5.7,,0,,0.3,,0.1,,0,,19,,0.8,,1,,2,,232,,24,,47,,179,,1.6,,0,,1.6,,0.34,,1.2,,100,,0,,0.77,,22,
26,PASTA LASAGNA DRIED,F,100,1E,FALSE,FALSE,,1,1,13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS,1,FALSE,8.7,,2,,5.7,,11.3,,1.6,,80.2,,360,,1534,,0,,3.7,,,,73.5,,6.7,,0,,6.7,,0.1,,0.2,,0.3,,6.1,,0,,0,,0.23,,0.18,,0.04,,0.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.17,,0.03,,3.3,,2.4,,5.7,,0,,0.3,,0.1,,0,,19,,0.8,,1,,2,,232,,24,,47,,179,,1.6,,0,,1.6,,0.34,,1.2,,100,,0,,0.77,,22,
27,PASTA MACARONI BOILED,F,100,1E,FALSE,FALSE,,1,400,13/08/04 updated pasta and pasta sauce project 2004 BH,1,FALSE,58.3,,0.8,,5.7,,4.8,,0.4,,32.9,,146,,623,,0,,2.7,,,,32.3,,0.6,,0,,0.6,,0,,0,,0,,0.6,,0,,0,,0.06,,0.05,,0.01,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.03,,1.1,,1.3,,2.4,,0,,0.1,,0,,0,,5,,0.3,,0,,5,,40,,25,,22,,77,,0.7,,0,,0.7,,0.19,,0.6,,50,,4,,0.37,,6,
28,"PASTA MACARONI, RAW",F,100,1E,FALSE,FALSE,,1,1,13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS,1,FALSE,8.7,,2,,5.7,,11.3,,1.6,,80.2,,360,,1534,,0,,3.7,,,,73.5,,6.7,,0,,6.7,,0.1,,0.2,,0.3,,6.1,,0,,0,,0.23,,0.18,,0.04,,0.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.17,,0.03,,3.3,,2.4,,5.7,,0,,0.3,,0.1,,0,,19,,0.8,,1,,2,,232,,24,,47,,179,,1.6,,0,,1.6,,0.34,,1.2,,100,,0,,0.77,,22,
29,PASTA NOODLES DRIED,F,100,1E,FALSE,FALSE,,1,1,13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS,1,FALSE,8.7,,2,,5.7,,11.3,,1.6,,80.2,,360,,1534,,0,,3.7,,,,73.5,,6.7,,0,,6.7,,0.1,,0.2,,0.3,,6.1,,0,,0,,0.23,,0.18,,0.04,,0.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.17,,0.03,,3.3,,2.4,,5.7,,0,,0.3,,0.1,,0,,19,,0.8,,1,,2,,232,,24,,47,,179,,1.6,,0,,1.6,,0.34,,1.2,,100,,0,,0.77,,22,
30,PASTA NOODLES BOILED,F,100,1E,FALSE,FALSE,,1,400,13/08/04 updated pasta and pasta sauce project 2004,1,FALSE,58.3,,0.8,,5.7,,4.8,,0.4,,32.9,,146,,623,,0,,2.7,,1.2,,32.3,,0.6,,0,,0.6,,0,,0,,0,,0.6,,0,,0,,0.06,,0.05,,0.01,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.03,,1.1,,1.3,,2.4,,0,,0.1,,0,,0,,5,,0.3,,0,,5,,40,,25,,22,,77,,0.7,,0,,0.7,,0.19,,0.6,,50,,4,,0.37,,6,
31,PASTA NOODLES EGG DRIED,F,100,1E,FALSE,FALSE,,1,1,13/08/04 Updated Pasta and Pasta Sauce Project 2004 NS,1,FALSE,8.2,,2.1,,5.7,,12,,2,,72.6,,338,,1440,,0,,3.9,,,,70.9,,1.7,,0,,1.7,,0.2,,0.2,,0.6,,0.7,,0,,0,,0.31,,0.3,,0.04,,0.69,,0,,2,,4,,43,,13,,36,,0,,11,,0.15,,0.12,,0.02,,3.3,,2.5,,5.8,,0,,0.5,,0.1,,0,,19,,0.6,,4,,685,,378,,73,,49,,187,,2.7,,0,,2.7,,0.2,,1.3,,974,,6,,1.1,,16,
32,PASTA NOODLES EGG BOILED,F,100,1E,FALSE,FALSE,,1,400,16/08/04 updated Pasta and pasta suace project 2004 BH,1,FALSE,57,,1,,5.7,,5.8,,1,,35.7,,166,,707,,0,,2.2,,0,,35.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.15,,0.14,,0.02,,0.33,,0,,1,,0,,0,,0,,0,,0,,0,,0.12,,0,,0,,0.6,,1.4,,2,,0,,0.3,Yes,0,,0,,6,,0.3,Yes,1,Yes,141,,75,,43,,25,,89,,1.1,,0,,1.1,,0,,0.6,,186,,0,Yes,0.53,,10,
33,PASTA SPAGHETTI DRIED WHITE,F,100,1E,FALSE,FALSE,,1,1,"13/08/04  Updated Pasta and Pasta Sauce Project 2004 NS
mw6 35.",1,FALSE,8.7,,2,,5.7,,11.3,,1.6,,80.2,,360,,1534,,0,,3.7,,,,73.5,,6.7,,0,,6.7,,0.1,,0.2,,0.3,,6.1,,0,,0,,0.23,,0.18,,0.04,,0.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.17,,0.03,,3.3,,2.4,,5.7,,0,,0.3,,0.1,,0,,19,,0.8,,1,,2,,232,,24,,47,,179,,1.6,,0,,1.6,,0.34,,1.2,,100,,0,,0.77,,22,
